timestamp,raw_value,attention,label
1644694645.804255,32,53,0
1644694645.8062904,38,53,0
1644694645.8082464,36,53,0
1644694645.8092444,36,53,0
1644694645.811239,45,53,0
1644694645.814235,56,53,0
1644694645.8152301,60,53,0
1644694645.8182213,57,53,0
1644694645.8192208,39,53,0
1644694645.8212152,25,53,0
1644694645.8242068,28,53,0
1644694645.8252316,38,53,0
1644694645.8261967,48,53,0
1644694645.829198,48,53,0
1644694645.8311844,40,53,0
1644694645.8321826,28,53,0
1644694645.8351738,25,53,0
1644694645.8361742,26,53,0
1644694645.8391626,25,53,0
1644694645.840159,21,53,0
1644694645.8441496,17,53,0
1644694645.845302,17,53,0
1644694645.8461504,12,53,0
1644694645.8488667,7,53,0
1644694645.852848,7,53,0
1644694645.8538465,19,53,0
1644694645.8538465,29,53,0
1644694645.8578355,26,53,0
1644694645.8588312,16,53,0
1644694645.8628228,16,53,0
1644694645.8628228,26,53,0
1644694645.869805,38,53,0
1644694645.869805,51,53,0
1644694645.8708005,55,53,0
1644694645.8708005,38,53,0
1644694645.8717992,25,53,0
1644694645.879812,38,53,0
1644694645.879812,59,53,0
1644694645.879812,68,53,0
1644694645.879812,53,53,0
1644694645.8817716,35,53,0
1644694645.8838034,32,53,0
1644694645.887755,40,53,0
1644694645.888756,40,53,0
1644694645.888756,28,53,0
1644694645.891743,24,53,0
1644694645.893757,26,53,0
1644694645.8947363,24,53,0
1644694645.8977551,12,53,0
1644694645.8987257,5,53,0
1644694645.9007177,8,53,0
1644694645.9027126,16,53,0
1644694645.9047086,16,53,0
1644694645.9067018,18,53,0
1644694645.908726,21,53,0
1644694645.9117117,23,53,0
1644694645.9127364,32,53,0
1644694645.914727,33,53,0
1644694645.916679,23,53,0
1644694645.9197137,18,53,0
1644694645.9207082,17,53,0
1644694645.9226623,17,53,0
1644694645.9236581,23,53,0
1644694645.9266636,37,53,0
1644694645.9286528,44,53,0
1644694645.9307034,40,53,0
1644694645.9326372,28,53,0
1644694645.9346428,13,53,0
1644694645.9366252,-18,53,0
1644694645.9396572,-52,53,0
1644694645.9396572,-59,53,0
1644694645.943016,-35,53,0
1644694645.944029,2,53,0
