Time,Block,Action,Score,Block Count,systemtime
0,T,768,0,0,19:26:21.820678
16996,O,768,0,1,19:26:22.569436
17138,O,768,0,1,19:26:22.711591
17272,O,768,0,1,19:26:22.846116
17403,O,768,0,1,19:26:22.977038
17578,O,768,0,1,19:26:23.152187
17751,L,768,0,2,19:26:23.324776
17923,L,768,0,2,19:26:23.496647
18137,L,768,0,2,19:26:23.711269
18542,L,768,0,2,19:26:24.115816
18771,L,768,0,2,19:26:24.344979
19156,S,768,0,3,19:26:24.729729
19383,S,768,0,3,19:26:24.957350
19577,S,768,0,3,19:26:25.150552
19724,S,768,0,3,19:26:25.297918
19880,S,768,0,3,19:26:25.453923
20138,S,768,0,3,19:26:25.712226
20750,S,768,0,3,19:26:26.324306
21214,S,768,0,4,19:26:26.787537
21421,S,768,0,4,19:26:26.994801
22750,S,768,0,4,19:26:28.324023
22992,S,768,0,4,19:26:28.565838
23218,I,768,0,5,19:26:28.792496
23414,I,768,0,5,19:26:28.988015
23657,I,768,0,5,19:26:29.230686
23920,I,768,0,5,19:26:29.494538
24143,Z,768,0,6,19:26:29.716988
24355,Z,768,0,6,19:26:29.928607
25056,Z,768,0,6,19:26:30.630545
25310,Z,768,0,6,19:26:30.884322
25627,Z,768,0,6,19:26:31.201501
25875,J,768,0,7,19:26:31.448733
26045,J,768,0,7,19:26:31.619091
26258,J,768,0,7,19:26:31.832607
26459,J,768,0,7,19:26:32.032880
26617,J,768,0,7,19:26:32.191096
26767,J,768,0,7,19:26:32.341566
26924,J,768,0,7,19:26:32.498365
27095,J,768,0,7,19:26:32.668894
27378,J,768,0,7,19:26:32.952565
27689,I,768,0,8,19:26:33.263621
27783,I,768,0,8,19:26:33.357231
27950,I,768,0,8,19:26:33.524310
28290,I,768,0,8,19:26:33.863933
28475,I,768,0,8,19:26:34.049043
28658,I,768,0,8,19:26:34.232689
29148,I,768,0,8,19:26:34.721794
29298,O,768,0,9,19:26:34.871863
29442,O,768,0,9,19:26:35.016264
29561,O,768,0,9,19:26:35.134857
29699,O,768,0,9,19:26:35.273060
29824,O,768,0,9,19:26:35.398514
29954,O,768,0,9,19:26:35.528488
30095,O,768,0,9,19:26:35.668928
30292,O,768,0,9,19:26:35.866318
30466,I,768,0,10,19:26:36.040281
30841,I,768,0,10,19:26:36.415225
31569,I,768,0,10,19:26:37.142983
31781,I,768,0,10,19:26:37.355188
31952,I,768,0,10,19:26:37.526759
32367,I,768,0,10,19:26:37.941049
32550,O,768,0,11,19:26:38.124008
32711,O,768,0,11,19:26:38.285048
32835,O,768,0,11,19:26:38.409024
32965,O,768,0,11,19:26:38.538899
33101,O,768,0,11,19:26:38.675056
33288,O,768,0,11,19:26:38.861867
33519,O,768,0,12,19:26:39.093351
33669,O,768,0,12,19:26:39.243684
33788,O,768,0,12,19:26:39.362291
33913,O,768,0,12,19:26:39.487053
34037,O,768,0,12,19:26:39.611531
34209,O,768,0,12,19:26:39.783123
34379,O,768,0,12,19:26:39.953162
34528,O,768,0,13,19:26:40.102699
34663,O,768,0,13,19:26:40.236996
34792,O,768,0,13,19:26:40.366521
34932,O,768,0,13,19:26:40.506343
35129,O,768,0,13,19:26:40.703466
35960,Z,768,0,14,19:26:41.534505
36124,Z,768,0,14,19:26:41.697955
36268,Z,768,0,14,19:26:41.842842
36520,Z,768,0,14,19:26:42.093953
36680,Z,768,0,14,19:26:42.254394
36960,S,768,0,15,19:26:42.534043
37136,S,768,0,15,19:26:42.710697
37715,S,768,0,15,19:26:43.289503
38085,Z,768,0,16,19:26:43.659346
38273,Z,768,0,16,19:26:43.847326
38869,Z,768,0,16,19:26:44.443447
39050,Z,768,0,16,19:26:44.624258
39586,Z,768,0,16,19:26:45.160988
39781,Z,768,0,16,19:26:45.355515
40010,Z,768,0,16,19:26:45.584570
40325,Z,768,0,16,19:26:45.899596
40576,L,768,0,17,19:26:46.150433
40896,L,768,0,17,19:26:46.470658
41616,L,768,0,17,19:26:47.190761
41756,L,768,0,17,19:26:47.330682
41916,L,768,0,17,19:26:47.490560
42093,L,768,0,17,19:26:47.667849
42509,L,768,0,17,19:26:48.084023
42778,Z,768,0,18,19:26:48.352311
43015,Z,768,0,18,19:26:48.589606
43171,Z,768,0,18,19:26:48.745676
43673,Z,768,0,18,19:26:49.247965
43911,S,768,0,19,19:26:49.485452
44324,S,768,0,19,19:26:49.898284
44514,S,768,0,19,19:26:50.088873
44824,S,768,0,19,19:26:50.398555
45048,S,768,0,19,19:26:50.622244
45383,J,768,0,20,19:26:50.957308
45680,J,768,0,20,19:26:51.255090
46322,J,768,0,20,19:26:51.897006
46751,J,768,0,20,19:26:52.325968
46871,J,768,0,20,19:26:52.445847
47289,J,768,0,20,19:26:52.863644
47413,J,768,0,20,19:26:52.987618
47592,J,768,0,20,19:26:53.166791
47823,T,768,0,21,19:26:53.398157
48010,T,768,0,21,19:26:53.584927
48216,T,768,0,21,19:26:53.791229
48458,T,768,0,21,19:26:54.033016
48812,T,768,0,21,19:26:54.387102
48952,T,768,0,21,19:26:54.527189
49084,T,768,0,21,19:26:54.659260
49482,T,768,0,21,19:26:55.056544
49674,J,769,10,22,19:26:55.249239
49877,T,768,0,22,19:26:55.451753
50147,T,768,0,22,19:26:55.721607
50499,T,768,0,22,19:26:56.073516
50787,T,768,0,22,19:26:56.361904
51097,T,768,0,22,19:26:56.672020
51529,J,768,0,23,19:26:57.103652
51942,J,768,0,23,19:26:57.517348
52814,J,768,0,23,19:26:58.389092
53334,J,768,0,23,19:26:58.909256
53949,J,768,0,23,19:26:59.523839
54290,J,768,0,23,19:26:59.864947
54569,S,768,0,24,19:27:00.143645
55837,S,768,0,24,19:27:01.412169
56175,S,768,0,24,19:27:01.749891
56488,S,768,0,24,19:27:02.062799
56915,I,768,0,25,19:27:02.489878
57064,I,768,0,25,19:27:02.638651
57292,I,768,0,25,19:27:02.866795
57381,I,768,0,25,19:27:02.955921
57854,I,768,0,25,19:27:03.429267
57970,I,768,0,25,19:27:03.544769
58205,I,768,0,25,19:27:03.780006
58304,O,769,10,26,19:27:03.879537
58304,O,769,20,26,19:27:03.879618
58305,O,769,30,26,19:27:03.879652
58654,I,768,0,26,19:27:04.229414
58883,I,768,0,26,19:27:04.458192
59081,I,768,0,26,19:27:04.656557
59293,I,768,0,26,19:27:04.868161
59581,I,768,0,26,19:27:05.156592
59755,I,768,0,26,19:27:05.329920
59928,I,768,0,26,19:27:05.502725
60075,I,768,0,26,19:27:05.650258
60080,O,771,10,27,19:27:05.655608
60080,L,771,20,27,19:27:05.655645
60081,J,771,30,27,19:27:05.655676
60081,L,771,40,27,19:27:05.655706
60696,T,768,0,27,19:27:06.270986
61028,T,768,0,27,19:27:06.602716
61276,T,768,0,27,19:27:06.850886
61475,T,768,0,27,19:27:07.049715
62048,T,768,0,27,19:27:07.623624
62570,T,768,0,27,19:27:08.144974
62721,T,768,0,27,19:27:08.296370
63010,T,768,0,27,19:27:08.585048
63212,T,768,0,27,19:27:08.787621
63405,T,768,0,27,19:27:08.980226
63771,T,768,0,27,19:27:09.346388
64014,Z,768,0,28,19:27:09.589721
64679,Z,768,0,28,19:27:10.254465
65023,L,768,0,29,19:27:10.598520
65248,L,768,0,29,19:27:10.823027
65792,L,768,0,29,19:27:11.367373
66214,I,768,0,30,19:27:11.789138
66376,I,768,0,30,19:27:11.951009
66642,I,768,0,30,19:27:12.217415
66741,I,768,0,30,19:27:12.316741
66861,I,768,0,30,19:27:12.435882
67033,I,768,0,30,19:27:12.608677
67180,I,768,0,30,19:27:12.755425
67342,I,768,0,30,19:27:12.917116
67487,I,768,0,30,19:27:13.062151
67617,O,769,10,31,19:27:13.192524
67617,T,769,20,31,19:27:13.192560
67913,I,768,0,31,19:27:13.488563
68172,I,768,0,31,19:27:13.747184
68426,I,768,0,31,19:27:14.001548
68788,I,768,0,31,19:27:14.363231
68923,I,768,0,31,19:27:14.498452
69053,I,768,0,31,19:27:14.628857
69190,I,768,0,31,19:27:14.764911
69420,I,768,0,31,19:27:14.994960
69816,I,768,0,32,19:27:15.391429
70193,I,768,0,32,19:27:15.768413
71822,I,768,0,32,19:27:17.397581
72191,I,768,0,32,19:27:17.766956
72586,J,768,0,33,19:27:18.161917
72925,J,768,0,33,19:27:18.500069
73091,J,768,0,33,19:27:18.666458
73304,J,768,0,33,19:27:18.879450
73539,J,768,0,33,19:27:19.114790
73834,J,768,0,33,19:27:19.409623
74363,J,768,0,34,19:27:19.938251
74620,J,768,0,34,19:27:20.195875
74917,J,768,0,34,19:27:20.492740
75063,J,768,0,34,19:27:20.638422
75431,END,999,0,34,19:27:21.006833
