Time,Block,Action,Score,Block Count,systemtime
0,O,768,0,0,18:56:58.313570
18112,I,768,0,1,18:57:00.526346
18348,I,768,0,1,18:57:00.762822
18396,I,768,0,1,18:57:00.810328
18516,I,768,0,1,18:57:00.931163
19254,J,768,0,2,18:57:01.668449
19703,J,768,0,2,18:57:02.117483
19871,J,768,0,2,18:57:02.285453
20237,J,768,0,2,18:57:02.651946
20689,J,768,0,2,18:57:03.103500
21080,J,768,0,2,18:57:03.495234
21255,J,768,0,2,18:57:03.669849
21435,J,768,0,2,18:57:03.849311
21611,J,768,0,2,18:57:04.026036
21966,J,768,0,2,18:57:04.380808
22260,I,768,0,3,18:57:04.675104
22445,I,768,0,3,18:57:04.859758
22620,I,768,0,3,18:57:05.034600
22781,I,768,0,3,18:57:05.195788
22950,I,768,0,3,18:57:05.365019
23240,I,768,0,3,18:57:05.654711
23746,Z,768,0,4,18:57:06.160921
24049,Z,768,0,4,18:57:06.463358
24455,Z,768,0,4,18:57:06.869478
25016,Z,768,0,4,18:57:07.430767
25680,Z,768,0,4,18:57:08.095328
26126,Z,768,0,4,18:57:08.541376
26442,Z,768,0,4,18:57:08.856461
26668,Z,768,0,4,18:57:09.082926
26838,Z,768,0,4,18:57:09.252917
27029,Z,768,0,4,18:57:09.444174
27229,Z,768,0,4,18:57:09.643666
27521,J,768,0,5,18:57:09.935652
28647,J,768,0,5,18:57:11.062020
28915,J,768,0,5,18:57:11.329728
29128,J,768,0,5,18:57:11.542689
29350,J,768,0,5,18:57:11.764641
29526,J,768,0,5,18:57:11.940918
29819,J,768,0,5,18:57:12.233604
30301,O,768,0,6,18:57:12.715810
30697,O,768,0,6,18:57:13.112429
31287,O,768,0,6,18:57:13.701901
31872,O,768,0,6,18:57:14.287209
32826,T,768,0,7,18:57:15.240825
33043,T,768,0,7,18:57:15.458329
33219,T,768,0,7,18:57:15.634064
33578,T,768,0,7,18:57:15.993027
33936,T,768,0,7,18:57:16.351492
34195,T,768,0,7,18:57:16.609672
34387,T,768,0,7,18:57:16.802195
34693,T,768,0,7,18:57:17.108376
35222,I,768,0,8,18:57:17.637390
35501,I,768,0,8,18:57:17.916315
36171,I,768,0,8,18:57:18.586486
36782,S,768,0,9,18:57:19.197310
36987,S,768,0,9,18:57:19.402504
37185,S,768,0,9,18:57:19.599974
37573,S,768,0,9,18:57:19.988522
37874,S,768,0,9,18:57:20.289650
38194,S,768,0,9,18:57:20.609369
38770,T,768,0,10,18:57:21.185378
39075,T,768,0,10,18:57:21.489965
39858,T,768,0,10,18:57:22.273370
40084,T,768,0,10,18:57:22.499523
40389,T,768,0,10,18:57:22.804134
40782,T,768,0,10,18:57:23.197256
41043,T,768,0,10,18:57:23.458404
41366,T,768,0,10,18:57:23.781803
41491,T,768,0,10,18:57:23.906053
41844,T,768,0,10,18:57:24.259324
42216,T,768,0,10,18:57:24.631187
44321,S,768,0,11,18:57:26.735953
44677,S,768,0,11,18:57:27.092935
45390,S,768,0,11,18:57:27.805939
46452,L,768,0,12,18:57:28.867241
47013,L,768,0,12,18:57:29.428705
47384,L,768,0,12,18:57:29.799071
47679,L,768,0,12,18:57:30.094235
47983,L,768,0,12,18:57:30.398698
48508,L,768,0,12,18:57:30.923496
49084,I,768,0,13,18:57:31.499706
49290,I,768,0,13,18:57:31.705554
49805,I,768,0,13,18:57:32.220720
50202,I,768,0,13,18:57:32.617756
50861,I,768,0,14,18:57:33.276766
51757,I,768,0,14,18:57:34.172683
51855,S,769,10,15,18:57:34.270525
53106,O,768,0,15,18:57:35.521566
53303,O,768,0,15,18:57:35.718626
53776,O,768,0,15,18:57:36.192074
54303,O,768,0,15,18:57:36.718853
54894,O,768,0,16,18:57:37.309633
55742,O,768,0,16,18:57:38.157333
55938,O,768,0,16,18:57:38.353832
56148,O,768,0,16,18:57:38.563991
56391,O,768,0,16,18:57:38.807067
56873,O,768,0,16,18:57:39.288731
58034,L,768,0,17,18:57:40.450342
58332,L,768,0,17,18:57:40.748123
58549,L,768,0,17,18:57:40.964998
59469,L,768,0,17,18:57:41.884446
60250,T,768,0,18,18:57:42.666017
60441,T,768,0,18,18:57:42.856551
60807,T,768,0,18,18:57:43.222780
61122,T,768,0,18,18:57:43.537930
61324,T,768,0,18,18:57:43.739884
61479,T,768,0,18,18:57:43.894708
61649,T,768,0,18,18:57:44.065085
61913,T,768,0,18,18:57:44.329396
62811,T,768,0,19,18:57:45.227091
62997,T,768,0,19,18:57:45.412916
63220,T,768,0,19,18:57:45.635913
63442,T,768,0,19,18:57:45.857661
63694,T,768,0,19,18:57:46.110126
63936,T,768,0,19,18:57:46.352299
64277,T,768,0,19,18:57:46.692570
64719,T,768,0,19,18:57:47.135212
65961,T,768,0,20,18:57:48.377169
66237,T,768,0,20,18:57:48.652692
66719,T,768,0,20,18:57:49.135169
66973,T,768,0,20,18:57:49.388685
67359,T,768,0,20,18:57:49.774759
67788,T,768,0,20,18:57:50.203763
69026,S,768,0,21,18:57:51.442628
69306,S,768,0,21,18:57:51.722077
69632,S,768,0,21,18:57:52.048165
69969,S,768,0,21,18:57:52.385633
70653,S,768,0,21,18:57:53.069012
71876,Z,768,0,22,18:57:54.292300
72069,Z,768,0,22,18:57:54.485709
72357,Z,768,0,22,18:57:54.772843
72513,Z,768,0,22,18:57:54.929080
72662,Z,768,0,22,18:57:55.078392
72850,Z,768,0,22,18:57:55.266414
73053,Z,768,0,22,18:57:55.468983
73320,L,768,0,23,18:57:55.736105
74192,L,768,0,24,18:57:56.608639
74647,L,768,0,24,18:57:57.063487
74846,L,768,0,24,18:57:57.261949
75216,L,768,0,24,18:57:57.632573
75471,L,768,0,24,18:57:57.887082
75590,END,999,0,24,18:57:58.006002
