Time,Block,Action,Score,Block Count,systemtime
0,O,768,0,0,15:44:26.649881
30055,I,768,0,1,15:44:27.277240
30352,I,768,0,1,15:44:27.573619
30496,I,768,0,1,15:44:27.718555
30669,I,768,0,1,15:44:27.891342
30894,I,768,0,1,15:44:28.116361
31865,J,768,0,2,15:44:29.087033
32178,J,768,0,2,15:44:29.399888
32445,J,768,0,2,15:44:29.667376
32997,I,768,0,3,15:44:30.219447
33336,I,768,0,3,15:44:30.558342
34065,I,768,0,3,15:44:31.287508
34327,I,768,0,3,15:44:31.549027
34809,I,768,0,3,15:44:32.031724
35574,Z,768,0,4,15:44:32.795853
35879,Z,768,0,4,15:44:33.101582
36259,Z,768,0,4,15:44:33.480863
37480,J,768,0,5,15:44:34.702178
37773,J,768,0,5,15:44:34.995621
38113,J,768,0,5,15:44:35.335098
39003,O,768,0,6,15:44:36.225411
39410,O,768,0,6,15:44:36.632185
40625,T,768,0,7,15:44:37.847349
40939,T,768,0,7,15:44:38.161347
41137,T,768,0,7,15:44:38.359201
41489,T,768,0,7,15:44:38.711661
41785,T,768,0,7,15:44:39.006956
42332,I,768,0,8,15:44:39.554316
42494,I,768,0,8,15:44:39.716441
43204,I,768,0,8,15:44:40.426974
43309,I,768,0,8,15:44:40.531917
43492,I,768,0,8,15:44:40.714616
43654,I,768,0,8,15:44:40.876126
43791,I,768,0,8,15:44:41.013050
43971,I,768,0,8,15:44:41.193887
44232,I,768,0,8,15:44:41.454085
44908,S,768,0,9,15:44:42.130990
45351,S,768,0,9,15:44:42.573609
45832,S,768,0,9,15:44:43.054154
46092,S,768,0,9,15:44:43.314468
46616,T,768,0,10,15:44:43.838367
46782,T,768,0,10,15:44:44.004739
47274,T,768,0,10,15:44:44.496872
47447,T,768,0,10,15:44:44.670102
47604,T,768,0,10,15:44:44.826185
47822,T,768,0,10,15:44:45.044679
48143,T,768,0,10,15:44:45.365991
49257,S,768,0,11,15:44:46.480059
49430,S,768,0,11,15:44:46.652165
49931,S,768,0,11,15:44:47.153399
50903,L,768,0,12,15:44:48.125745
51025,L,768,0,12,15:44:48.247385
51523,L,768,0,12,15:44:48.746113
51785,L,768,0,12,15:44:49.007794
51942,L,768,0,12,15:44:49.165009
52101,L,768,0,12,15:44:49.323472
52543,L,768,0,12,15:44:49.765281
52931,L,768,0,12,15:44:50.153340
53052,L,768,0,12,15:44:50.274272
53282,L,768,0,12,15:44:50.504408
53485,L,768,0,12,15:44:50.708276
53727,L,768,0,12,15:44:50.949500
54299,I,768,0,13,15:44:51.522165
55229,I,768,0,13,15:44:52.451906
55589,I,768,0,13,15:44:52.811568
55910,I,768,0,14,15:44:53.133246
56057,I,768,0,14,15:44:53.279583
56514,I,768,0,14,15:44:53.736561
56660,I,768,0,14,15:44:53.882912
56836,I,768,0,14,15:44:54.058773
56972,I,768,0,14,15:44:54.195174
56983,I,768,0,14,15:44:54.206268
57182,I,768,0,14,15:44:54.404549
57328,I,768,0,14,15:44:54.550622
57444,I,768,0,14,15:44:54.667081
57816,O,768,0,15,15:44:55.038419
57965,O,768,0,15,15:44:55.187542
58097,O,768,0,15,15:44:55.319882
58596,O,768,0,15,15:44:55.818641
58722,O,768,0,15,15:44:55.944529
58857,O,768,0,15,15:44:56.079775
59024,O,768,0,15,15:44:56.247059
59187,O,768,0,15,15:44:56.409730
59418,O,768,0,15,15:44:56.641111
60503,O,768,0,16,15:44:57.725773
60645,O,768,0,16,15:44:57.867967
60808,O,768,0,16,15:44:58.031463
61023,O,768,0,16,15:44:58.245902
61279,O,768,0,16,15:44:58.501558
61634,S,768,0,17,15:44:58.857165
61776,S,768,0,17,15:44:58.998668
61890,S,768,0,17,15:44:59.112658
62280,S,768,0,17,15:44:59.502699
62458,S,768,0,17,15:44:59.681119
62667,S,768,0,17,15:44:59.889701
62919,S,768,0,17,15:45:00.141727
63208,S,768,0,17,15:45:00.431458
63590,L,768,0,18,15:45:00.812694
63752,L,768,0,18,15:45:00.974726
64239,L,768,0,18,15:45:01.462106
64412,L,768,0,18,15:45:01.634948
64662,L,768,0,18,15:45:01.884851
64841,L,768,0,18,15:45:02.064105
64968,L,768,0,18,15:45:02.190896
65213,L,768,0,18,15:45:02.436274
65557,L,768,0,18,15:45:02.780241
65709,L,768,0,18,15:45:02.932164
65874,L,768,0,18,15:45:03.096670
65984,L,768,0,18,15:45:03.207246
66177,L,768,0,18,15:45:03.399690
66339,T,768,0,19,15:45:03.562321
66773,T,768,0,19,15:45:03.996227
66929,T,768,0,19,15:45:04.152492
67081,T,768,0,19,15:45:04.304441
67243,T,768,0,19,15:45:04.465942
67401,T,768,0,19,15:45:04.624036
67559,T,768,0,19,15:45:04.781964
67784,T,768,0,19,15:45:05.007657
68061,T,768,0,19,15:45:05.284279
68124,S,771,10,20,15:45:05.347119
68124,Z,771,20,20,15:45:05.347154
68700,T,768,0,20,15:45:05.923172
68959,T,768,0,20,15:45:06.182693
69159,T,768,0,20,15:45:06.381785
