Time,Block,Action,Score,Block Count,systemtime
0,Z,768,0,0,13:01:41.071639
2183,L,768,0,1,13:01:41.869661
2496,L,768,0,1,13:01:42.182429
2658,L,768,0,1,13:01:42.344551
2900,L,768,0,1,13:01:42.586553
3066,L,768,0,1,13:01:42.752692
3200,L,768,0,1,13:01:42.886012
3401,L,768,0,1,13:01:43.086848
3866,J,768,0,2,13:01:43.552625
4033,J,768,0,2,13:01:43.719531
4191,J,768,0,2,13:01:43.877484
4600,J,768,0,2,13:01:44.285964
5182,J,768,0,2,13:01:44.868768
5875,S,768,0,3,13:01:45.561387
6607,S,768,0,3,13:01:46.293771
6800,S,768,0,3,13:01:46.486258
7133,S,768,0,3,13:01:46.819251
7509,S,768,0,3,13:01:47.195239
7982,Z,768,0,4,13:01:47.668674
8166,Z,768,0,4,13:01:47.852577
8641,Z,768,0,4,13:01:48.327695
8823,Z,768,0,4,13:01:48.509823
9233,Z,768,0,4,13:01:48.919341
9558,O,768,0,5,13:01:49.244396
9733,O,768,0,5,13:01:49.419032
9933,O,768,0,5,13:01:49.619854
10200,O,768,0,5,13:01:49.886215
10459,O,768,0,5,13:01:50.145276
11208,J,768,0,6,13:01:50.894867
11358,J,768,0,6,13:01:51.044685
11917,J,768,0,6,13:01:51.603072
12217,J,768,0,6,13:01:51.903222
12706,Z,768,0,7,13:01:52.392265
12885,Z,768,0,7,13:01:52.571359
13042,Z,768,0,7,13:01:52.728145
13225,Z,768,0,7,13:01:52.911268
13474,Z,768,0,7,13:01:53.160260
13650,Z,768,0,7,13:01:53.336816
13833,Z,768,0,7,13:01:53.519660
14267,Z,768,0,7,13:01:53.952960
14974,Z,768,0,7,13:01:54.659936
15138,Z,768,0,7,13:01:54.824321
15616,Z,768,0,7,13:01:55.302041
16058,L,768,0,8,13:01:55.744871
16300,L,768,0,8,13:01:55.986193
16733,L,768,0,8,13:01:56.419262
17338,L,768,0,8,13:01:57.024750
17883,L,768,0,8,13:01:57.569436
18433,L,768,0,8,13:01:58.119423
18734,L,768,0,8,13:01:58.420129
18900,L,768,0,8,13:01:58.586310
19075,L,768,0,8,13:01:58.761576
19233,L,768,0,8,13:01:58.919271
19424,L,768,0,8,13:01:59.110727
19561,L,768,0,8,13:01:59.247509
19774,Z,769,10,9,13:01:59.460849
20532,S,768,0,9,13:02:00.217978
22158,S,768,0,9,13:02:01.844316
22458,S,768,0,9,13:02:02.144574
23033,S,768,0,9,13:02:02.719251
23742,S,768,0,9,13:02:03.428206
24708,L,768,0,10,13:02:04.394894
25185,L,768,0,10,13:02:04.871486
26217,L,768,0,10,13:02:05.903311
26408,L,768,0,10,13:02:06.094326
26582,L,768,0,10,13:02:06.268078
26765,L,768,0,10,13:02:06.451163
27113,L,768,0,10,13:02:06.799239
27284,L,768,0,10,13:02:06.970904
27416,L,768,0,10,13:02:07.102786
27708,L,768,0,10,13:02:07.394724
27941,L,768,0,10,13:02:07.627715
28158,L,768,0,10,13:02:07.844322
28916,I,768,0,11,13:02:08.602925
29116,I,768,0,11,13:02:08.802088
29316,I,768,0,11,13:02:09.002463
29491,I,768,0,11,13:02:09.177688
29658,I,768,0,11,13:02:09.344051
29876,I,768,0,11,13:02:09.562056
30057,S,769,10,12,13:02:09.743173
30338,S,768,0,12,13:02:10.024670
30550,S,768,0,12,13:02:10.236354
31058,S,768,0,12,13:02:10.744683
31615,S,768,0,12,13:02:11.301512
31775,S,768,0,12,13:02:11.461031
32192,S,768,0,12,13:02:11.878164
32431,S,768,0,12,13:02:12.117891
32683,S,768,0,12,13:02:12.369716
33358,Z,768,0,13,13:02:13.044862
33625,Z,768,0,13,13:02:13.311162
34375,Z,768,0,13,13:02:14.060994
34616,Z,768,0,13,13:02:14.302632
34941,Z,768,0,13,13:02:14.627983
35268,I,768,0,14,13:02:14.954654
35450,I,768,0,14,13:02:15.136137
35608,I,768,0,14,13:02:15.294985
35774,I,768,0,14,13:02:15.460945
35940,I,768,0,14,13:02:15.626752
36099,I,768,0,14,13:02:15.785189
36284,I,768,0,14,13:02:15.970658
37041,S,768,0,15,13:02:16.727639
37425,S,768,0,15,13:02:17.111163
38142,S,768,0,15,13:02:17.828120
38392,S,768,0,15,13:02:18.078515
38467,O,771,10,16,13:02:18.153742
39699,T,768,0,16,13:02:19.385642
39865,T,768,0,16,13:02:19.551948
40192,T,768,0,16,13:02:19.878556
40341,T,768,0,16,13:02:20.027995
40549,T,768,0,16,13:02:20.235243
40941,T,768,0,16,13:02:20.627932
41665,J,768,0,17,13:02:21.351921
43016,J,768,0,17,13:02:22.702892
43164,J,768,0,17,13:02:22.850750
43325,J,768,0,17,13:02:23.011855
43615,J,768,0,17,13:02:23.301390
43950,J,768,0,17,13:02:23.636904
44683,S,768,0,18,13:02:24.369352
45158,S,768,0,18,13:02:24.844591
45342,S,768,0,18,13:02:25.028563
45508,S,768,0,18,13:02:25.194737
45849,S,768,0,18,13:02:25.535248
46456,J,768,0,19,13:02:26.142934
46632,J,768,0,19,13:02:26.318426
46958,J,768,0,19,13:02:26.644381
47142,J,768,0,19,13:02:26.828059
48107,J,768,0,19,13:02:27.793817
49016,O,768,0,20,13:02:28.702671
49358,O,768,0,20,13:02:29.044402
49607,O,768,0,20,13:02:29.293398
50716,T,768,0,21,13:02:30.402823
50875,T,768,0,21,13:02:30.561165
51033,T,768,0,21,13:02:30.720027
51289,T,768,0,21,13:02:30.975662
51466,T,768,0,21,13:02:31.152792
51633,T,768,0,21,13:02:31.319487
51825,T,768,0,21,13:02:31.511750
52000,T,768,0,21,13:02:31.686452
52167,T,768,0,21,13:02:31.853255
53074,S,768,0,22,13:02:32.760420
53500,S,768,0,22,13:02:33.186317
53985,S,768,0,22,13:02:33.671154
54560,O,768,0,23,13:02:34.246863
54774,O,768,0,23,13:02:34.460986
55365,O,768,0,23,13:02:35.052039
55691,I,768,0,24,13:02:35.377857
56150,I,768,0,24,13:02:35.836908
56260,S,769,10,25,13:02:35.946168
56260,J,769,20,25,13:02:35.946197
